Authors,Document Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,label,Other predictin,Page count,Cited by,DOI,PDF Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Source,EID
"Zhao H., Huang W., Wang S., Liu T.",Intelligent Cost Estimation Method for Large-Scale Projects Based on PCA Optimized RBF Neural Networks,2016,"Proceedings - 2015 8th International Symposium on Computational Intelligence and Design, ISCID 2015",1,,7469008,525,528,no,,,,10.1109/ISCID.2015.146,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978175172&doi=10.1109%2fISCID.2015.146&partnerID=40&md5=4485e4c56959c5b404f4eb35e4a9cb50,"School of Management, Qingdao University of Technology, Qingdao, China; School of Civil Engineering, Yancheng Institute of Technology, Yancheng, China","Zhao, H., School of Management, Qingdao University of Technology, Qingdao, China; Huang, W., School of Management, Qingdao University of Technology, Qingdao, China; Wang, S., School of Management, Qingdao University of Technology, Qingdao, China; Liu, T., School of Civil Engineering, Yancheng Institute of Technology, Yancheng, China","In this paper, we break down the large-scale project into small units so that we can extract the parameters that relates most to the total cost more easily. However, the amount of these parameters are huge, causing much trouble for RBF neural fitting, so we need to reduce the number of these parameters by using PCA. Then we put the newly generated parameters as the inputs of RBF neural networks. The results of the empirical analysis showed a sound verification that the proposed cost estimation method is worthy of expanding. Â© 2015 IEEE.",Cost estimation; Engineering breakdown; Estimation accuracy; Large-scale project; Neural network; PCA,Conference Paper,Scopus,2-s2.0-84978175172
"Zhao C., Dong C., Zhang X.",EM3B2 â€“ a semantic integration engine for materials science,2016,Program,50,1,,58,82,no,,,,10.1108/PROG-01-2015-0004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953314944&doi=10.1108%2fPROG-01-2015-0004&partnerID=40&md5=3c5939babb4113ce7a3defc8ae6b68de,"School of Information Science and Engineering, University of Science and Technology, Beijing, China; UNIVERSITY OF SCIENCE & TECHNOLOGY BEIJING, Beijing, China; Hebei University of Science and Technology, Shijiazhuang, China","Zhao, C., School of Information Science and Engineering, University of Science and Technology, Beijing, China; Dong, C., UNIVERSITY OF SCIENCE & TECHNOLOGY BEIJING, Beijing, China; Zhang, X., Hebei University of Science and Technology, Shijiazhuang, China","Purpose â€“ The integration and retrieval of the vast data have attracted sufficient attention, thus the W3C workgroup releases R2RML to standardize the transformation from relational data to semantic-aware data. However, it only provides a data transform mechanism to resource description framework (RDF). The generation of mapping alignments still needs manual work or other algorithms. Therefore, the purpose of this paper is to propose a domain-oriented automatic mapping method and an application of the R2RML standard. Design/methodology/approach â€“ In this paper, materials science is focussed to show an example of domain-oriented mapping. source field concept and M3B2 (Metal Materials Mapping Background Base) knowledge bases are established to support the auto-recommending algorithm. As for the generation of RDF files, the idea is to generate the triples and the links, respectively. The links of the triples follow the object-subject relationship, and the links of the object properties can be achieved by the range individuals and the trail path. Findings â€“ Consequently based on the previous work, the authors proposed Engine for Metal Materials Mapping Background Base (EM3B2), a semantic integration engine for materials science. EM3B2 not only offers friendly graphical interfaces, but also provides auto-recommending mapping based on materials knowledge to enable users to avoid vast manually work. The experimental result indicates that EM3B2 supplies accurate mapping. Moreover, the running time of E3MB2 is also competitive as classical methods. Originality/value â€“ This paper proposed EM3B2 semantic integration engine, which contributes to the relational database-to-RDF mapping by the application of W3C R2RML standard and the domain-oriented mapping. Â© 2016, Emerald Group Publishing Limited.",Auto mapping; Knowledge base; Metal materials; R2RML; Semantic Web,Article,Scopus,2-s2.0-84953314944
"Zhang Y., Gupta R.K., Bernard A.",Two-dimensional placement optimization for multi-parts production in additive manufacturing,2016,Robotics and Computer-Integrated Manufacturing,38,,,102,117,no,,,,10.1016/j.rcim.2015.11.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947283087&doi=10.1016%2fj.rcim.2015.11.003&partnerID=40&md5=1aeea2623e4e107580b74d3056dc0c00,"IRCCyN, Ecole Centrale de Nantes, Nantes, France","Zhang, Y., IRCCyN, Ecole Centrale de Nantes, Nantes, France; Gupta, R.K., IRCCyN, Ecole Centrale de Nantes, Nantes, France; Bernard, A., IRCCyN, Ecole Centrale de Nantes, Nantes, France","Additive Manufacturing (AM) processes build parts in a layer by layer manner. This unique characteristic enables AM machines to fabricate different parts simultaneously without using tools or fixtures. However, how to optimally place multi-parts (with same or different geometries) into a specified build space or onto the build platform with respect to user-defined objectives is a complex NP-hard problem. This problem is a special variant of classical nesting or packing problems. Moreover it owns specific constraints from AM. In this paper, the multi-parts placement problem in AM is analyzed and an integrated strategy is proposed to solve one category of the problem, two-dimensional placement of multi-parts. The proposed strategy is composed of two main steps, Applying an ""AM feature-based orientation optimization method"" to optimize each part's build orientation to guarantee the production quality and Applying a designed ""parallel nesting"" algorithm for increasing the compactness of placement by using the parts' projection profiles so as to decrease the total build time and cost. Computational examples are presented in the end for demonstration. Â© 2015 Elsevier Ltd. All rights reserved.",Additive manufacturing; Multi-parts production; Nesting/Packing; Orientation optimization; Placement optimization,Article,Scopus,2-s2.0-84947283087
"Zhang W., Duan P., Xie X., Xia F., Lu Q., Liu X., Zhou J.",QoS4IVSaaS: a QoS management framework for intelligent video surveillance as a service,2016,Personal and Ubiquitous Computing,20,5,,795,808,no,,,1,10.1007/s00779-016-0945-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982255180&doi=10.1007%2fs00779-016-0945-5&partnerID=40&md5=305526c5cb503190c3a6a6e1cbba9b8e,"School of Computer and Communication Engineering, China University of Petroleum, Qingdao, China; Science and Technology on Optical Radiation Laboratory, No. 52 Yongding Road, Beijing, China; Key Laboratory for Ubiquitous Network and Service Software of Liaoning Province, School of Software, Dalian University of Technology, Dalian, China; Faculty of Information Technology and Electrical Engineering, University of Oulu, P.O. BOX 8000, Oulu, Finland","Zhang, W., School of Computer and Communication Engineering, China University of Petroleum, Qingdao, China; Duan, P., School of Computer and Communication Engineering, China University of Petroleum, Qingdao, China; Xie, X., Science and Technology on Optical Radiation Laboratory, No. 52 Yongding Road, Beijing, China; Xia, F., Key Laboratory for Ubiquitous Network and Service Software of Liaoning Province, School of Software, Dalian University of Technology, Dalian, China; Lu, Q., School of Computer and Communication Engineering, China University of Petroleum, Qingdao, China; Liu, X., School of Computer and Communication Engineering, China University of Petroleum, Qingdao, China; Zhou, J., Faculty of Information Technology and Electrical Engineering, University of Oulu, P.O. BOX 8000, Oulu, Finland","Quality of service (QoS) is critical for real-time intelligent video surveillance as a service (IVSaaS) platform, which is both computation intensive and data intensive by nature. However, there is scarce work on a QoS framework for IVSaaS platform. In this paper, we propose QoS for intelligent video surveillance as a service, a QoS framework to make computing resources highly available. In the framework, multiple metrics such as throughput, loads of CPU/GPU, memory and IO are taken into account with different time series models to enhance the adaptivity of different video services. A model selection algorithm is proposed to choose the model that achieves the best performance under various error indicators. At the same time, a resource abnormality detection algorithm is designed to detect anomalies when a service is underperformed. Evaluation results show that the proposed QoS framework can successfully ensure QoS by dynamically scheduling computing resources. Ã‚Â© 2016, Springer-Verlag London.",Anomaly detection; CPU-GPU collaboration; QoS; Stream processing,Article,Scopus,2-s2.0-84982255180
"Zhang P., Yang K., Dou Y., Jiang J.",Scenario-based approach for project portfolio selection in army engineering and manufacturing development,2016,Journal of Systems Engineering and Electronics,27,1,7424932,166,176,no,,,,10.1109/JSEE.2016.00016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960960043&doi=10.1109%2fJSEE.2016.00016&partnerID=40&md5=1eaaf556ae19c45b2aa0efaf92ba2773,"College of Information System and Management, National University of Defense Technology, Changsha, China","Zhang, P., College of Information System and Management, National University of Defense Technology, Changsha, China; Yang, K., College of Information System and Management, National University of Defense Technology, Changsha, China; Dou, Y., College of Information System and Management, National University of Defense Technology, Changsha, China; Jiang, J., College of Information System and Management, National University of Defense Technology, Changsha, China","The decisions concerning portfolio selection for army engineering and manufacturing development projects determine the benefit of those projects to the country concerned. Projects are typically selected based on ex ante estimates of future return values, which are usually difficult to specify or only generated after project launch. A scenario-based approach is presented here to address the problem of selecting a project portfolio under incomplete scenario information and interdependency constraints. In the first stage, the relevant dominance concepts of scenario analysis are studied to handle the incomplete information. Then, a scenario-based programming approach is proposed to handle the interdependencies to obtain the projects, whose return values are multi-criteria with interval data. Finally, an illustrative example of army engineering and manufacturing development shows the feasibility and advantages of the scenario-based multi-objective programming approach. Â© 2016 Beijing Institute of Aerospace Information.",interdependence group decision making; portfolio decision analysis; project portfolio selection; scenario-based,Article,Scopus,2-s2.0-84960960043
"Zhang J., Lei H.",Research status and prospect of Internetware reliability,2015,"Proceedings of 2015 4th International Conference on Computer Science and Network Technology, ICCSNT 2015",,,7490779,406,411,no,,,,10.1109/ICCSNT.2015.7490779,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979243061&doi=10.1109%2fICCSNT.2015.7490779&partnerID=40&md5=cf20f2637f334c75fe22e7038af81e26,"School of Computer Science and Technology, University of Electronic and Science Technology of China, Chengdu, China; Panzhihua University, Panzhihua, China; School of Information and Software Engineering, University of Electronic and Science Technology of China, Chengdu, China","Zhang, J., School of Computer Science and Technology, University of Electronic and Science Technology of China, Chengdu, China, Panzhihua University, Panzhihua, China; Lei, H., School of Information and Software Engineering, University of Electronic and Science Technology of China, Chengdu, China","There are some limitations when analyzing and studying Internetware by using traditional software reliability theory and method which is not adaptive to the open, dynamic and changeable network environment. Based on the basic principle, the characteristics and the analysis of Internetware, the theory and the technology of Internetware reliability are innovated and developed. The research status, the theoretical basis, the research emphasis and the development of Internetware are analyzed and studied. The key researches are Internetware reliability model and reliability computation method. The new research direction and research thinking of scientific analysis of Internet influencing factors, automatic extraction method, specialized computing and parallel computing for reliability are proposed. Internetware reliability analysis and research content are discussed from theory, technology and application, which has reference value for continuous research and further application in Internetware. Â© 2015 IEEE.",Internetware; prospect; reliability; status; technology; theory,Conference Paper,Scopus,2-s2.0-84979243061
"Zhang J.-L., Yuan J.-F., Wan J., Mao J., Zhu L.-T., Zhou L., Jiang C.-F., Di P., Wang J.",Efficient parallel implementation of incompressible pipe flow algorithm based on SIMPLE,2016,Concurrency Computation ,28,6,,1751,1766,no,,,1,10.1002/cpe.3000,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875019216&doi=10.1002%2fcpe.3000&partnerID=40&md5=4020e63c8e665c2c884674e62c4df515,"School of Computer Science and Technology, Hangzhou Dianzi University, Hangzhou, China; School of Mechanical Engineering, Hangzhou Dianzi University, Hangzhou, China; School of Mechanical Engineering, University of New South Wales, Sydney, NSW, Australia; Supercomputing Center of Computer Network Information Center, Chinese Academy of Sciences, Beijing, China","Zhang, J.-L., School of Computer Science and Technology, Hangzhou Dianzi University, Hangzhou, China; Yuan, J.-F., School of Computer Science and Technology, Hangzhou Dianzi University, Hangzhou, China; Wan, J., School of Computer Science and Technology, Hangzhou Dianzi University, Hangzhou, China; Mao, J., School of Mechanical Engineering, Hangzhou Dianzi University, Hangzhou, China; Zhu, L.-T., School of Computer Science and Technology, Hangzhou Dianzi University, Hangzhou, China; Zhou, L., School of Computer Science and Technology, Hangzhou Dianzi University, Hangzhou, China; Jiang, C.-F., School of Computer Science and Technology, Hangzhou Dianzi University, Hangzhou, China; Di, P., School of Mechanical Engineering, University of New South Wales, Sydney, NSW, Australia; Wang, J., Supercomputing Center of Computer Network Information Center, Chinese Academy of Sciences, Beijing, China","Parallel semi-implicit method for pressure-linked equations(SIMPLE) algorithm is used to solve the 3-D incompressible pipe flow problem. In this paper, we proposed a novel parallel SIMPLE algorithm that uses the alternate tiling technique. Firstly, a parallel SIMPLE algorithm based on domain decomposition method was established, and the implementation of domain partition and data exchange was presented. Then, we presented serial finite difference stencil algorithm based on alternate tiling. Furthermore, an iteration space parallel two-way finite difference stencil algorithm based on alternate tiling was proposed, introducing the sequence of iterative space tiles as the sequence of execution and using time skewing technique to partition the iteration space, thus to improve the data locality of algorithm. The cache misses and the cost of communication and synchronization are reduced by reordering the tiles of iteration space. Finally, the effectiveness of the two parallel SIMPLE algorithms were compared. The results showed that the parallel SIMPLE algorithm that uses the two-way finite difference stencil algorithm based on alternate tiling has good data locality, performance, and scalability in the Deepcomp7000 cluster computing environment. Copyright Â© 2013 John Wiley & Sons, Ltd.",alternate tiling; domain decomposition; finite difference stencil; incompressible pipe flow; SIMPLE algorithm; TDMA,Article,Scopus,2-s2.0-84875019216
"Zhang G., Li M., Yi T.",Cost estimation method of power engineering overhead line based on ARIMAâ€”RBF neural network model,2016,"International Journal of Simulation: Systems, Science and Technology",17,44,,3.1,3.4,no,,,,10.5013/IJSSST.a.17.44.03,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006041897&doi=10.5013%2fIJSSST.a.17.44.03&partnerID=40&md5=3f64a9862b5fdf5ce2f0e1b6369dce0d,"Department of Technology Economics, North China Electric Power University, Beijing, China; Department of Management science and Engineering, North China Electric Power University, Beijing, China","Zhang, G., Department of Technology Economics, North China Electric Power University, Beijing, China; Li, M., Department of Management science and Engineering, North China Electric Power University, Beijing, China; Yi, T., Department of Technology Economics, North China Electric Power University, Beijing, China","Factors in the unit investment forecast of overhead line engineering are various and complex, it is very difficult to get the satisfied forecasting effect using traditional econometric models. In view of this characteristic, this thesis puts forward a kind of combination forecast model, using the ARIMA model and RBF neural network model to seek for linear and nonlinear change rule of historical data of overhead line engineering unit investment, and combine all the values. This thesis elaborates on the principles of combination prediction, and it demonstrates the superiority of combination prediction to single prediction model. Â© 2016, UK Simulation Society. All rights reserved.",ARIMA; Overhead lines; RBF neural network; Unit investment forecast,Article,Scopus,2-s2.0-85006041897
"Zhang F., Mockus A., Keivanloo I., Zou Y.",Towards building a universal defect prediction model with rank transformed predictors,2016,Empirical Software Engineering,21,5,,2107,2145,no,Defect,,,10.1007/s10664-015-9396-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941350779&doi=10.1007%2fs10664-015-9396-2&partnerID=40&md5=cfc68c31b20ae580a4981d9fa18d20ff,"School of Computing, Queenâ€™s University, Kingston, ON, Canada; Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN, United States; Department of Electrical and Computer Engineering, Queenâ€™s University, Kingston, ON, Canada","Zhang, F., School of Computing, Queenâ€™s University, Kingston, ON, Canada; Mockus, A., Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN, United States; Keivanloo, I., Department of Electrical and Computer Engineering, Queenâ€™s University, Kingston, ON, Canada; Zou, Y., Department of Electrical and Computer Engineering, Queenâ€™s University, Kingston, ON, Canada","Software defects can lead to undesired results. Correcting defects costs 50 % to 75 % of the total software development budgets. To predict defective files, a prediction model must be built with predictors (e.g., software metrics) obtained from either a project itself (within-project) or from other projects (cross-project). A universal defect prediction model that is built from a large set of diverse projects would relieve the need to build and tailor prediction models for an individual project. A formidable obstacle to build a universal model is the variations in the distribution of predictors among projects of diverse contexts (e.g., size and programming language). Hence, we propose to cluster projects based on the similarity of the distribution of predictors, and derive the rank transformations using quantiles of predictors for a cluster. We fit the universal model on the transformed data of 1,385 open source projects hosted on SourceForge and GoogleCode. The universal model obtains prediction performance comparable to the within-project models, yields similar results when applied on five external projects (one Apache and four Eclipse projects), and performs similarly among projects with different context factors. At last, we investigate what predictors should be included in the universal model. We expect that this work could form a basis for future work on building a universal model and would lead to software support tools that incorporate it into a regular development workflow. Â© 2015, Springer Science+Business Media New York.",Context factors; Defect prediction; Large-scale; Rank transformation; Software quality; Universal defect prediction model,Article,Scopus,2-s2.0-84941350779
"Zeng R., Xiao H.",Transportation route selection of construction logistics based on complex network,2016,"Proceedings of the 2016 IEEE 20th International Conference on Computer Supported Cooperative Work in Design, CSCWD 2016",,,7566054,581,583,no,,,,10.1109/CSCWD.2016.7566054,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991710842&doi=10.1109%2fCSCWD.2016.7566054&partnerID=40&md5=e454e8bdd99533152c4231b62c012177,"School of Logistics Engineering, Wuhan University of Technology, Wuhan, China; Huaxia School of Wuhan University of Technology, Department of Automotive Engineering, Wuhan, China","Zeng, R., School of Logistics Engineering, Wuhan University of Technology, Wuhan, China, Huaxia School of Wuhan University of Technology, Department of Automotive Engineering, Wuhan, China; Xiao, H., School of Logistics Engineering, Wuhan University of Technology, Wuhan, China","For the high-risks of construction logistics, a reasonable transportation route is able to reduce the risk effectively and ensure that the materials can reach the construction site successfully. Based on the features of construction logistics and the complex network theory, influence factors in the process of transportation have been converted into the weights of the edge. Then, the average shortest path has been calculated to direct the choice of transportation routes, which can provide the basis for the transport route of construction logistics selection. According to the computer simulation and empirical analysis, the paper finally has analyzed the transport network topology and found the important nodes to reduce the risk of transportation. Finally, the paper put forward the optimal path and verify this method's effectiveness by empirical analysis. Â© 2016 IEEE.",complex network; construction logistics; risk; transportation route optimization,Conference Paper,Scopus,2-s2.0-84991710842
Zagonari F.,Choosing among weight-estimation methods for multi-criterion analysis: A case study for the design of multi-purpose offshore platforms,2016,Applied Soft Computing Journal,39,,,1,10,no,,,2,10.1016/j.asoc.2015.11.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947727019&doi=10.1016%2fj.asoc.2015.11.003&partnerID=40&md5=4a6896a16b31d19a014ac7837fdec091,"Dipartimento di Scienze Economiche, UniversitÃ  di Bologna, via AngherÃ  22, Rimini, Italy","Zagonari, F., Dipartimento di Scienze Economiche, UniversitÃ  di Bologna, via AngherÃ  22, Rimini, Italy","Application of the sustainability concept to environmental projects implies that at least three feature categories (i.e., economic, social, and environmental) must be taken into account by applying a participative multi-criterion analysis (MCA). However, MCA results depend crucially on the methodology applied to estimate the relative criterion weights. By using a logically consistent set of data and methods (i.e., linear regression [LR], factor analysis [FA], the revised Simos procedure [RSP], and the analytical hierarchy process [AHP]), the present study revealed that mistakes from using one weight-estimation method rather than an alternative are non-significant in terms of satisfaction of specified acceptable standards (i.e., a risk of up to 1% of erroneously rejecting an option), but significant for comparisons between options (i.e., a risk of up to 11% of choosing a worse option by rejecting a better option). In particular, the risks of these mistakes are larger if both differences in statistical or computational algorithms and in data sets are involved (e.g., LR vs. AHP). In addition, the present study revealed that the choice of weight-estimation methods should depend on the estimated and normalised score differences for the economic, social, and environmental features. However, on average, some pairs of weight-estimation methods are more similar (e.g., AHP vs. RSP and LR vs. AHP are the most and the least similar, respectively), and some single weight-estimation methods are more reliable (i.e., FA > RSP > AHP > LR). Â© 2015 Elsevier B.V. All rights reserved.",Analytical hierarchy process; Factor analysis; Linear regression; Multi-criterion analysis; Revised Simos procedure; Weighting,Article,Scopus,2-s2.0-84947727019
