Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,label,Issue Date,Meeting Date,Publisher,Document Identifier
Designing process replication and activation: a quantitative approach,M. Litoiu; J. Rolia; G. Serazzi,"IBM Canada Ltd., Toronto, Ont., Canada",IEEE Transactions on Software Engineering,20020806,2000,26,12,1168,1178,"Distributed application systems are composed of classes of objects with instances that interact to accomplish common goals. Such systems can have many classes of users with many types of requests. Furthermore, the relative load of these classes can shift throughout the day, causing changes to system behavior and bottlenecks. When designing and deploying such systems, it is necessary to determine a process replication and threading policy for the server processes that contain the objects, as well as process activation policies. To avoid bottlenecks, the policy must support all possible workload conditions. Licensing, implementation or resource constraints can limit the number of permitted replicas or threads of a server process. Process activation policies determine whether a server is persistent or should be created and terminated with each call. This paper describes quantitative techniques for choosing process replication or threading levels and process activation policies. Inappropriate policies can lead to unnecessary queuing delays for callers or unnecessarily high consumption of memory resources. The algorithms presented consider all workload conditions, are iterative in nature and are hybrid mathematical programming and analytic performance evaluation methods. An example is given to demonstrate the technique and describe how the results can be applied during software design and deployment",0098-5589;00985589,,10.1109/32.888630,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=888630,,Algorithm design and analysis;Delay;Iterative algorithms;Iterative methods;Licenses;Mathematical programming;Performance analysis;Process design;Software design;Yarn,distributed object management;distributed programming;mathematical programming;multi-threading;queueing theory;software performance evaluation;systems analysis,analytic performance evaluation methods;bottlenecks;closed queuing networks;common goals;distributed application systems;distributed design;implementation constraints;iterative algorithms;licensing constraints;linear programming;mathematical programming;memory resource consumption;nonlinear programming;object classes;performance analysis;performance modeling;process activation design;process replication design;quantitative approach;queuing delays;relative load;resource constraints;server processes;software deployment;software design;system behavior;threading policy;user classes;user requests;workload conditions,,17,,18,,no,Dec-00,,IEEE,IEEE Journals & Magazines
E-representative: a scalability scheme for e-commerce,W. Meira; D. Menasce; V. Almeida; R. Fonseca,"Dept. of Comput. Sci., Univ. Federal de Minas Gerais, Belo Horizonte, Brazil",Proceedings Second International Workshop on Advanced Issues of E-Commerce and Web-Based Information Systems. WECWIS 2000,20020806,2000,,,168,175,"In order to meet the quality of service demanded by a growing number of online customers, e-commerce services need to use scalability techniques. This paper introduces the concept of e-commerce representatives, a means of scaling the performance of e-commerce services. E-representatives are programs that execute on a cache server or at nearby machines. E-representatives can be implemented using redirection, a mechanism available in popular cache servers. Using analytical and simulation models, we show the potential performance gains obtained by e-commerce sites that distribute their services among e-representatives and contribute to reduce bandwidth consumption and network latency",,POD:0-7695-0610-0,10.1109/WECWIS.2000.853872,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=853872,,Analytical models;Bandwidth;Business;Computer science;Delay;Electronic commerce;Network servers;Quality of service;Scalability;Telecommunication traffic,cache storage;electronic commerce;file servers;quality of service;software performance evaluation,analytic models;bandwidth consumption;cache server;distributed services;electronic commerce representatives;network latency;online customers;performance gains;performance scaling;redirection;scalability scheme;service quality;simulation models,,3,4,19,,no,2000,08 Jun 2000-09 Jun 2000,IEEE,IEEE Conference Publications
On the stability of a Tank and Hopfield type neural network in the general case of complex eigenvalues,M. T. Hanna,"Dept. of Eng. Math. & Phys., Cairo Univ., Fayoum, Egypt",IEEE Transactions on Signal Processing,20020806,2000,48,1,289,293,"The stability of a Tank and Hopfield-type neural network is investigated for the general case of practically encountered complex eigenvalues s<sub>D</sub> of the matrix product D<sub>g</sub><sup>T</sup> D<sub>f</sub>, where D<sub>g</sub> and D<sub>f </sub> are approximations of the connection matrix D on the signal and constraint sides of the neural net, respectively. A stability criterion in the form of an analytic expression is derived, thus generalizing the results obtained by Yan (1991) for the special case of purely real eigenvalues",1053-587X;1053587X,,10.1109/78.815505,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=815505,,Circuit stability;Computer aided software engineering;DH-HEMTs;Discrete Fourier transforms;Eigenvalues and eigenfunctions;Hopfield neural networks;Intelligent networks;Neural networks;Operational amplifiers;Stability criteria,Hopfield neural nets;eigenvalues and eigenfunctions;matrix algebra;stability,Tank and Hopfield type neural network;complex eigenvalues;connection matrix;stability criterion,,2,,9,,no,Jan-00,,IEEE,IEEE Journals & Magazines
Parametric design synthesis of distributed embedded systems,Dong-In Kang; R. Gerber; M. Saksena,"Univ. of South Carolina, Arlington, VA, USA",IEEE Transactions on Computers,20020806,2000,49,11,1155,1169,"This paper presents a design synthesis method for distributed embedded systems. In such systems, computations can flow through long pipelines of interacting software components, hosted on a variety of resources, each of which is managed by a local scheduler. Our method automatically calibrates the local resource schedulers to achieve the system's global end-to-end performance requirements. A system is modeled as a set of distributed task chains (or pipelines), where each task represents an activity requiring nonzero load from some CPU or network resource. Task load requirements can vary stochastically due to second-order effects like cache memory behavior, DMA interference, pipeline stalls, bus arbitration delays, transient head-of-line blocking, etc. We aggregate these effects-along with a task's per-service load demand and model them via a single random variable, ranging over an arbitrary discrete probability distribution. Load models can be obtained via profiling tasks in isolation or simply by using an engineer's hypothesis about the system's projected behavior. The end-to-end performance requirements are posited in terms of throughput and delay constraints. Specifically, a pipeline's delay constraint is an upper bound on the total latency a computatation can accumulate, from input to output. The corresponding throughput constraint mandates the pipeline's minimum acceptable output rate-counting only outputs which meet their delay constraints. Since per-component loads can be generally distributed; and since resources host stages from multiple pipelines, meeting all of the system's end-to-end constraints is a nontrivial problem. Our approach involves solving two subproblems in tandem: 1) finding an optimal proportion of load to allocate to each task and channel and 2) deriving the best combination of service intervals over which all load proportions can be guaranteed. The design algorithms use analytic approximations to quickly estimate output rates and propagation delays for candidate solutions. When all parameters are synthesized, the estimated end-to-end performance metrics are rechecked by simulation. The per-component load reservations can then be increased, with the synthesis algorithms rerun to improve performance. At that point, the - system can be configured according to the synthesized scheduling parameters-and then revalidated via on-line profiling. In this paper, we demonstrate our technique on an example system, and compare the estimated performance to its simulated on-line behavior.",0018-9340;00189340,,10.1109/12.895934,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=895934,,Algorithm design and analysis;Cache memory;Delay;Design methodology;Embedded system;Load modeling;Pipelines;Processor scheduling;Resource management;Throughput,delays;distributed processing;embedded systems;performance evaluation;processor scheduling,DMA interference;bus arbitration delays;cache memory behavior;delay constraint;distributed embedded systems;distributed task chains;interacting software components;local resource schedulers;local scheduler;nonzero load;optimal proportion;parametric design synthesis;performance metrics;performance requirements;propagation delays;upper bound,,4,,39,,no,Nov-00,,IEEE,IEEE Journals & Magazines
Performance scalability in multiprocessor systems with resource contention,S. Majumdar,"Dept. of Syst. & Comput. Eng., Carleton Univ., Ottawa, Ont., Canada",2000 IEEE International Symposium on Performance Analysis of Systems and Software. ISPASS (Cat. No.00EX422),20020806,2000,,,129,138,"Multiple processes may contend for shared resources such as variables stored in the shared memory of a multiprocessor system. Mechanisms required to preserve data consistency on such systems often lead do a decrease in system performance. This research focuses on controlling shared resource contention for achieving high capacity and scalability in multiprocessor based applications that include telephone switches and real time databases. Both reengineering of existing code as well as appropriate scheduling of the processes are two viable methods for controlling memory contention. Emphasis is placed on the second approach. Based on analytic models, three different scheduling approaches are compared. The numerical results obtained from the model provide insights into system behavior and highlight the important attributes of each strategy. A hybrid approach that combines the good attributes of a number of these strategies is proposed and analyzed. The results of this research are useful mainly to designers of software for multiprocessor based telecommunication and other embedded systems",,POD:0-7803-6418-X,10.1109/ISPASS.2000.842292,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=842292,,Access protocols;Database systems;Multiprocessing systems;Scalability;Switches;Systems engineering and theory;Telephony;Transaction databases;Writing,multiprocessing systems;performance evaluation;processor scheduling;resource allocation;systems re-engineering,analytic models;data consistency;embedded systems;hybrid approach;memory contention;multiple processes;multiprocessor based applications;multiprocessor based telecommunication;multiprocessor systems;performance scalability;real time databases;reengineering;resource contention;scheduling approaches;shared memory systems;shared resource contention;shared resources;system behavior;system performance;telephone switches,,0,,22,,no,2000,24 Apr 2000-25 Apr 2000,IEEE,IEEE Conference Publications
Phase-locked loop for grid-connected three-phase power conversion systems,S. K. Chung,"Dept. of Control & Instrum. Eng., Gyeongsang Nat. Univ., Kyungnam, South Korea",IEE Proceedings - Electric Power Applications,20020806,2000,147,3,213,219,"Analysis and design of a phase-locked loop (PLL) is presented for the power factor control of grid-connected three-phase power conversion systems. The dynamic characteristics of the closed loop PLL system with a second order are investigated in both continuous and discrete-time domains, and the optimisation method is discussed. In particular, the performance of the PLL in the three-phase system is analysed under the distorted utility conditions such as the phase unbalancing harmonics, and offset caused by nonlinear loads and measurement errors. The PLL technique for the three-phase system is implemented in software of a digital signal processor to verify the analytic results, and the experiments are carried out for various utility conditions. This technique is finally applied to the grid-connected photovoltaic power generation system with the current-controlled PWM inverter as a subpart for generating the current reference of the inverter. The experimental results demonstrate its phase tracking capability in the three-phase grid-connected operation",1350-2352;13502352,,10.1049/ip-epa:20000328,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=848556,,,DC-AC power convertors;PWM invertors;closed loop systems;harmonic distortion;phase locked loops;power conversion harmonics;power factor correction;power system interconnection,closed loop PLL system;continuous-time domain;current-controlled PWM inverter;discrete-time domain;dynamic characteristics;grid-connected three-phase power conversion systems;measurement errors;nonlinear loads;optimisation method;phase tracking capability;phase unbalancing harmonics;phase-locked loop;power factor control,,119,2,,,no,May-00,,IET,IET Journals & Magazines
PhysioNet: a research resource for studies of complex physiologic and biomedical signals,G. B. Moody; R. G. Mark; A. L. Goldberger,"Harvard-MIT Div. of Health Sci. & Technol., Cambridge, MA, USA",Computers in Cardiology 2000. Vol.27 (Cat. 00CH37163),20020806,2000,,,179,182,"PhysioNet (http://www.physionet.org/) is a web-based resource supplying well-characterized physiologic signals and related open-source software to the biomedical research community. Inaugurated in September 1999 under the auspices of the NIH's National Center for Research Resources (NCRR), PhysioNet provides an on-line forum for free dissemination and exchange of research data and software, with facilities for cooperative analysis of data and evaluation of new analytic methods. As of September 2000, PhysioBank, the data archive made available via PhysioNet, contained roughly 35 gigabytes of recorded signals and annotations. PhysioNet is a public service of the Research Resource for Complex Physiologic Signals, a cooperative project initiated by researchers at Boston's Beth Israel Deaconess Medical Center/Harvard Medical School, Boston University, McGill University, and MIT",0276-6547;02766547,POD:0-7803-6557-7,10.1109/CIC.2000.898485,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=898485,,Collaborative software;Data analysis;Error correction;Object oriented databases;Open source software;Rhythm;Roentgenium;Signal analysis;Software algorithms;Software tools,cardiology;electrocardiography;information resources;medical information systems;public domain software;telemedicine,Beth Israel Deaconess Medical Center;Boston University;Harvard Medical School;MIT;McGill University;NCRR;NIH National Center for Research Resources;PhysioBank;PhysioNet;September 1999;September 2000;biomedical research community;complex biomedical signals;complex physiologic signals;cooperative analysis;data archive;free dissemination;http://www.physionet.org/;new analytic methods;on-line forum;open-source software;public service;research data;research resource;web-based resource,,13,,25,,no,2000,24 Sep 2000-27 Sep 2000,IEEE,IEEE Conference Publications
Simulation of hardware support for OpenGL graphics architecture,T. Paltashev; N. Govind; G. Abla,"Dept. of Electr. & Comput. Eng., South Dakota Sch. of Mines & Technol., SD, USA",Proceedings International Conference on Information Technology: Coding and Computing (Cat. No.PR00540),20020806,2000,,,295,300,"The growing number of applications for 3D graphics and imaging systems in the mass market requires the customized approach to the design of high-performance 3D graphics and imaging system architectures. That fact coupled with the strong trends to industrial standardization of graphics API, such as OpenGL, leads to enhanced portability for imaging and graphics applications. The progress on the hardware support of API functionality gives a real possibility to use a top-down approach in the design of custom graphics/imaging systems based on the mixed hardware/software implementation of the OpenGL architecture. Software simulation is a relatively cheap and fast way for initial graphics architecture template development and evaluation to acquire the structure and parameters that can be used later for HDL elaboration and simulation. This paper discusses a 3D graphics and imaging system architecture model implementation based on OpenGL API hardware support simulation. The object-oriented approach has been used for this development of analytic and software models simulating hardware units on different stages of the graphics pipeline. The Interactive Imaging System Architecture Composer has been developed in this project for fast run-time simulation management, data acquisition and interpretation. The expandable set of architecture templates uses a reconfigurable shared library of ‰ÛÏvirtual hardware units‰Ûù simulating the different hardware structures for graphics and image processing",,POD:0-7695-0540-6,10.1109/ITCC.2000.844241,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=844241,,Analytical models;Application software;Computer architecture;Graphics;Hardware design languages;Object oriented modeling;Pipelines;Project management;Runtime;Standardization,application program interfaces;computer architecture;computer graphics;image processing;object-oriented programming;software architecture;software portability;virtual machines,3D graphics;HDL;Interactive Imaging System Architecture Composer;OpenGL graphics architecture;custom graphics systems;data acquisition;graphics API;graphics architecture template development;hardware simulation;image processing;object-oriented approach;reconfigurable shared library;run-time simulation management;software portability;standardization;virtual hardware units,,1,2,14,,no,2000,27 Mar 2000-29 Mar 2000,IEEE,IEEE Conference Publications
Spreading sequence sets with zero and low correlation zone for quasi-synchronous CDMA communication systems,Xinmin Deng; Pingzhi Fan,"Sch. of Comput. & Commun. Eng., Southwest Jiaotong Univ., Chengdu, China",Vehicular Technology Conference Fall 2000. IEEE VTS Fall VTC2000. 52nd Vehicular Technology Conference (Cat. No.00CH37152),20020806,2000,4,,1698,1703 vol.4,"This paper considers the application of sequences with low correlation zone (LCZ) and zero correlation zone (ZCZ) to quasi-synchronous DS/CDMA communication systems. Several classes of sequences with LCZ and ZCZ are described. Numerical results show that the BER performances of systems using ZCZ sequences and LCZ sequences are comparable with the same number of users and almost the same processing gain. In addition, when the timing error is large, the ZCZ sequences perform better than the LCZ sequences. Analytic results are verified with simulations",1090-3038;10903038,POD:0-7803-6507-0,10.1109/VETECF.2000.886114,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=886114,,Application software;Autocorrelation;Bit error rate;Code division multiplexing;Communication systems;Multiaccess communication;Multiple access interference;Performance gain;System performance;Timing,code division multiple access;correlation theory;error statistics;land mobile radio;sequences;spread spectrum communication;synchronisation,BER performances;DS-CDMA;LCZ sequences;ZCZ sequences;low correlation zone sequences;mobile radio;quasi-synchronous CDMA communication systems;spreading sequence sets;timing error;zero correlation zone sequences,,3,,17,,no,2000,24 Sep 2000-28 Sep 2000,IEEE,IEEE Conference Publications
Statistical process control: analyzing space shuttle onboard software process,W. A. Florac; A. D. Carleton; J. R. Barnard,"Software Eng. Inst., Carnegie Mellon Univ., Pittsburgh, PA, USA",IEEE Software,20020806,2000,17,4,97,106,Demand for increased software process efficiency and effectiveness places measurement demands on the software engineering community beyond those traditionally practiced. Statistical- and process-thinking principles lead to the use of statistical process control (SPC) methods to determine the consistency and capability of the processes used to develop software. The authors use data and analysis from a collaborative effort between the Software Engineering Institute (a federally funded research and development center sponsored by the US Department of Defense) and the Space Shuttle Onboard Software Project as a vehicle to illustrate the analytic processes analysts frequently encounter when using SPC,0740-7459;07407459,,10.1109/52.854075,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=854075,,Control charts;Engineering management;Process control;Software development management;Software engineering;Software measurement;Software performance;Space shuttles;Stability;Time measurement,aerospace computing;software development management;software process improvement;space vehicles;statistical process control,SPC;Software Engineering Institute;Space Shuttle Onboard Software Project;analytic processes;collaborative effort;measurement demands;process-thinking principles;software engineering community;software process efficiency;space shuttle onboard software process;statistical process control,,34,,7,,no,Jul/Aug 2000,,IEEE,IEEE Journals & Magazines
The design and implementation of a WWW traffic generator,K. Y. Leung; K. H. Yeung,"Dept. of Electron. Eng., City Univ. of Hong Kong, China",Proceedings Seventh International Conference on Parallel and Distributed Systems (Cat. No.PR00568),20020806,2000,,,509,514,"With the growing importance of the World Wide Web, Web managers are facing the problem of how to accurately measure the performance of their Web servers. This paper addresses this problem by introducing a traffic generator which is developed by using the Java language. The generator generates Web workload by using an analytic model which models the arrivals at the user level. It is both self-scaling and self-configuring, meaning that it can scale the traffic to any intensities and configure the arrival characteristics to conform to those of any specific Web site. The latter is done by analyzing a site's access log for adjusting the model parameters being used during traffic generation. In contrast to other traffic generator being used in common Web benchmark software, the real content of the target Web server is used as the testing file set instead of just using a reduced standard file set. Experimental results on using the generator to test two Web servers are also presented. The results show that the generator is both functional and useful to measure the performance of Web servers under real situations",1521-9097;15219097,POD:0-7695-0568-6,10.1109/ICPADS.2000.857736,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=857736,,Benchmark testing;Engineering management;HTML;Java;Monitoring;Software testing;Traffic control;Web server;Web sites;World Wide Web,Java;information resources;search engines;telecommunication traffic,Java language;WWW traffic generator;Web benchmark software;Web servers;Web site access log;Web workload;analytic model;arrival modelling;performance measurement;testing file set,,0,,9,,no,2000,04 Jul 2000-07 Jul 2000,IEEE,IEEE Conference Publications
The effect of average parallelism and CPU-I/O overlap on application speedup,L. Diaconescu; S. Majumdar,"Dept. of Syst. & Comput. Eng., Carleton Univ., Ottawa, Ont., Canada",Proceedings Seventh International Conference on Parallel and Distributed Systems: Workshops,20020806,2000,,,370,377,Parallelization of I/O using multiple disk drives is warranted for achieving high performance on systems running CPU and I/O intensive applications. This paper is concerned with the characterization of applications with parallel I/O and the derivation of analytic bounds on speedup. New characteristics for capturing parallelism in I/O are introduced. These characteristics are used in conjunction with other characteristics available in the literature for the derivation of the bounds. Both parallelism in CPU and I/O operations in applications as well as the degree of overlap between CPU and I/O are observed to have a strong impact on speedup,,POD:0-7695-0571-6,10.1109/PADSW.2000.884646,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=884646,,Application software;Computer applications;Computer networks;Concurrent computing;Disk drives;Distributed computing;High performance computing;Parallel processing;System performance;Systems engineering and theory,disc drives;input-output programs;parallel processing;performance evaluation,CPU-input output overlap;application speedup;high performance;multiple disk drives;parallel input-output,,0,,9,,no,Oct-00,04 Jul 2000-07 Jul 2000,IEEE,IEEE Conference Publications
Using intelligent agents to identify missing and exploited children,S. G. Romaniuk,"Anger, Fairmont, Wu, USA",IEEE Intelligent Systems and their Applications,20020806,2000,15,2,27,30,"Recent high-profile stings and convictions in the USA have amply demonstrated the Internet's rapid expansion and its increasing use by pedophiles and other sexual predators. Unfortunately, inadequate manpower and fiscal support often mar federal and state investigative operations, and the Internet's ever-expanding growth will only make these efforts more difficult in the future. However, modern computer technology, especially the Internet and agent based software, might help ongoing and future investigations. As part of a National Institute of Justice grant, Analytic Services (Anser) is developing an intelligent-software-agent system that uses the Internet to locate missing and exploited children. We focused our agents in two areas: knowledge discovery and predictive data mining (KD&PDM) for intranet data sources and Web analytics, and intelligent search and discovery (IS&D) for the Internet. Our system is, so far, only an alpha system. We haven't used it with a customer, even though several have expressed interest in its usage after viewing some of its findings and demonstrations. We still need to provide a user interface (the system is completely customizable) and we continue to test the various agents over the Internet, in chat rooms, and in intranets",1094-7167;10947167,,10.1109/5254.850824,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=850824,,Distributed databases;Intelligent agent;Internet;Network servers;Neural networks;Relays;Search engines;User interfaces;Web pages;Web server,Internet;data mining;government data processing;intranets;law administration;software agents,Analytic Services;Anser;Internet;USA;Web analytics;agent based software;alpha system;chat rooms;exploited children;fiscal support;intelligent search and discovery;intelligent software agent system;intranet data sources;knowledge discovery;missing children;modern computer technology;predictive data mining;state investigative operations;user interface,,7,,6,,no,Mar/Apr 2000,,IEEE,IEEE Journals & Magazines
