"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&",2016/07/08 15:38:52
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Thermooxidative degradation of poly(3-alkyltirophenes)","N. Ljunizqvist; T. Hjertberg","Chalmers University of Technology","Science and Technology of Synthetic Metals, 1994. ICSM '94. International Conference on","20020806","1994","","","285","285","Summary form only given. Poly(3-alkylthiophenes), containing alkyl side chains with more than four carbon atoms, are meltable and soluble in common solvents which make them possible to process with conventional techniques such as injection moulding and solution casting. However, these techniques may introduce new problems. During processing, polymers are exposed to high temperatures, shear forces and often also to oxygen. This may initiate different degradation reactions, ultimately leading to chain scission or crosslinking, and thus impaired properties. In this investigation, thin films of undoped poly(3-octylthiophene), POT, have been exposed to temperatures and atmospheres similar to processing conditions. Low molecular weight compounds and chemical treatment have been used for identification of the degradation products. The results show that the alpha-carbon position of the alkyl side chain is very sensitive to oxidation yielding carbonyl groups and crosslinks. Attempts to stabilize POT have also been carried out.","","","","10.1109/STSM.1994.835302","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=835302","","Atmosphere;Casting;Chemical compounds;Chemical products;Degradation;Injection molding;Oxidation;Polymer films;Solvents;Temperature sensors","","","","0","","","","","24-29 July 1994","","IEEE","IEEE Conference Publications"
"Performance of N-orthogonal codes (Corresp.)","A. Viterbi; J. Stiffler","","IEEE Transactions on Information Theory","20030106","1967","13","3","521","522","In a recent paper Reed and Scholtz (ibid., vol. IT-12, pp. 388-395, July 1966) analyze the error probabilities encountered in using N-orthogonal codes over a white Gaussian channel. In this correspondence the authors derive simple upper and lower bounds on these probabilities and discuss some of the implications of these bounds.","0018-9448;00189448","","","10.1109/TIT.1967.1054023","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1054023","","","","","","10","","5","","","July 1967","","IEEE","IEEE Journals & Magazines"
"SAW: System-assisted wear leveling on the write endurance of NAND flash devices","Chundong Wang; W. F. Wong","School of Computing, National University of Singapore, Singapore","Design Automation Conference (DAC), 2013 50th ACM/EDAC/IEEE","20130718","2013","","","1","9","The write endurance of NAND Hash memory adversely impacts the lifetime of flash devices. A flash cell is likely to wear out after undergoing excessive program/erase (P/E) flips. Wear leveling is hence employed to spread erase operations as evenly as possible. It is traditionally conducted by the flash translation layer (FTL), a management firmware residing in Hash devices. In this paper, we shall propose a novel wear leveling algorithm involving the operating system (OS). We will show that our operating System-Assisted Wear leveling (SAW) algorithm can significantly improve the wear evenness. SAW takes advantage of OS's knowledge about files at a higher level of abstraction, and provides useful hints to the lower-level FTL to accommodate data. A prototype based on a file system and an FTL has been developed to verify the effectiveness of SAW. Experiments show that wear evenness can be improved by as much as 85.0% compared to the state-of-the-art FTL wear leveling schemes.","0738-100X;0738100X","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6560757","","Ash;Mathematical model;OWL;Prototypes;Resource management;Surface acoustic waves;Temperature distribution","NAND circuits;electronic engineering computing;firmware;flash memories;integrated circuit reliability;operating systems (computers)","NAND flash memory write endurance;OS;P-E flips;SAW leveling algorithm;file system;flash cell;flash translation layer;lower-level FTL wear leveling schemes;management firmware;operating system;program-erase flips;system-assisted wear leveling algorithm","","0","","20","","","May 29 2013-June 7 2013","","IEEE","IEEE Conference Publications"
"Draft Standard for Risk Management of Medical Devices in Networks","P. Jordan","","Medical Device Management More Than Maintenance, The IET Seminar on","20070423","2007","","","113","122","The article consists of a Powerpoint presentation on risk management of medical devices in networks. The areas discussed include: network integrators; infrastructure software; inter-operability; system design; system assembly; and configuration management.","0537-9989;05379989","978-0-86341-793-1;9780863417931","","10.1049/ic:20070524","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4156075","","","biomedical equipment;manufactured products;network interfaces;risk management","configuration management;draft standard;infrastructure software;inter-operability;medical devices;network integrators;risk management;system assembly;system design","","0","","","","","13-16 Nov. 1978","","IET","IET Conference Publications"
"Self-organization based on the second maximum entropy principle","I. Grabec","Edvard Kardelj Univ., Ljubljana, Yugoslavia","Artificial Neural Networks, 1989., First IEE International Conference on (Conf. Publ. No. 313)","20020806","1989","","","12","16","The article formulates an optimal mapping from a continuous onto a discrete random variable by introducing the second maximum entropy principle, complementary to the Gibbsian one. The mapping corresponds to the self-organization of a community of formal neurons. The derived properties of the interaction between neurons are similar to those in biological neural networks","","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=51921","","","entropy;neural nets;optimisation;random processes;self-adjusting systems","maxent principle;optimal mapping;random variable;second maximum entropy principle;self-organization","","3","","","","","16-18 Oct 1989","16 Oct 1989-18 Oct 1989","IET","IET Conference Publications"
"Shock waves generated by intense femtosecond lasers","T. Ao; A. Ng","Dept. of Phys. & Astron., British Columbia Univ., Vancouver, BC, Canada","Plasma Science, 2000. ICOPS 2000. IEEE Conference Record - Abstracts. The 27th IEEE International Conference on","20020806","2000","","","161","","Summary form only given. To examine the basic properties of shock waves generated by intense femtosecond lasers, we use a one-dimensional hydrodynamic code which is coupled to an electromagnetic wave solver. The latter is used to treat the coupling of the pump laser radiation to the sample and the interaction of an optical probe with the shock wave. Calculations have been made for a pump laser with a wavelength of 400 nm, pulse length of 120 fs (FWHM) and irradiances ranging from 10/sup 14/-10/sup 16/ W/cm/sup 2/. Aluminum is used as a material standard in our calculations because it is a simple metal and there is a relatively broad knowledge of its physical properties, both theoretically and experimentally. To describe the plasma and shock states produced, we use the quotidian equation of state QEOS and conductivities derived from the dense plasma model of Lee and More. Thermal equilibriation between electrons and ions is treated in a conduction-relaxation model.","0730-9244;07309244","0-7803-5982-8;0780359828","","10.1109/PLASMA.2000.854855","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=854855","","Electromagnetic coupling;Hydrodynamics;Laser excitation;Optical coupling;Plasma density;Plasma materials processing;Plasma properties;Pump lasers;Shock waves;Ultrafast optics","plasma production by laser;plasma shock waves","400 nm;Al;conduction-relaxation model;dense plasma model;electromagnetic wave solver;intense femtosecond lasers;one-dimensional hydrodynamic code;optical probe;plasma;pump laser radiation;quotidian equation of state;shock states;shock wave generation;thermal equilibriation","","0","","3","","","4-7 June 2000","04 Jun 2000-07 Jun 2000","IEEE","IEEE Conference Publications"
"Locating the wrist of an elbow-type manipulator","W. J. Crochetiere","GTE Labs. Inc., Waltham, MA, USA","IEEE Transactions on Systems, Man, and Cybernetics","20120926","1984","SMC-14","3","497","499","An elbow-type manipulator with a shoulder offset may assume a given wrist position in as many as four different configurations (shoulder right/left, elbow up/down). The inverse kinematic solution that defines each of these configurations for a PUMA 560 robot arm is derived trigonometrically. This solution is also compared with a previously reported solution (see ibid., vol.11, no.6, p.449-55, June 1981).","0018-9472;00189472","","","10.1109/TSMC.1984.6313245","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6313245","","Elbow;Equations;Kinematics;Manipulators;Uncertainty;Wrist","kinematics;position control;robots","PUMA 560 robot arm;elbow-type manipulator;inverse kinematic solution;shoulder offset;wrist position","","1","","","","","May-June 1984","","IEEE","IEEE Journals & Magazines"
"Health Physics Aspects of 20- to 40-MeV Linac Operations","L. A. Slaback","Armed Forces Radiobiology Research Institute, Bethesda, MD 20014","IEEE Transactions on Nuclear Science","20071112","1979","26","1","1584","1586","The AFRRI electron linear accelerator is a two-mode, high-current (1-3 A) LINAC used for research in radiobiology, biological inactivation, and radiation effects on electronic devices. Operations are predominantly in the ranges of 13-20 MeV and 35-40 MeV, which results in contrasting health physics problems. Low-energy operations are dominated by the production of toxic gas (ozone) and by some localized activation for bremsstrahlung operations. Ozone concentration is constantly monitored for electron-in-air operations. Problems with high-energy operations are related to target configuration and experimental design. This includes activation of various machine and experimental components and activation of room air. For some operations, ozone can also be a serious problem. A monitoring system was devised to distinguish between the 15O and 13N air-activation components. Cooling water activation, resin bed activity levels, klystron X ray leakage, removable surface contamination, and gamma and neutron streaming are seen, but have not been significant problems.","0018-9499;00189499","","","10.1109/TNS.1979.4330443","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4330443","","Cooling;Design for experiments;Electrons;Linear accelerators;Linear particle accelerator;Production;Radiation effects;Radiation monitoring;Resins;Water pollution","","","","0","","4","","","Feb. 1979","","IEEE","IEEE Journals & Magazines"
"Grating formation in a germanium free silicon oxynitride fibre","E. M. Dianov; K. M. Golant; R. R. Khrapko; A. S. Kurkov; B. Leconte; M. Douay; P. Bernage; P. Niay","Inst. of Gen. Phys., Acad. of Sci., Moscow, Russia","Electronics Letters","20020806","1997","33","3","236","238","For the first time, Bragg gratings have been written in a germanium-free nitrogen-doped-silica-core fibre. Index changes as high as 8.4×10<sup>4</sup> have been achieved in the gratings under exposure to 193 nm light without hydrogen loading. The grating growth dynamics is similar to that in heavily doped germanosilicate fibres","0013-5194;00135194","","","10.1049/el:19970136","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=575954","","","diffraction gratings;optical fibres;silicon compounds","193 nm;Bragg grating;SiON;germanium free silicon oxynitride fibre;growth dynamics;nitrogen-doped-silica-core;refractive index","","3","8","","","","30 Jan 1997","","IET","IET Journals & Magazines"
"Combined Spectral and Aperture Synthetic Ultrasonic Imaging System","T. Sato; O. Ikeda; Kazuyuki Endo","","IEEE Transactions on Sonics and Ultrasonics","20051205","1981","28","2","64","68","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01539298.png"" border=""0"">","0018-9537;00189537","","","10.1109/T-SU.1981.31222","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1539298","","Apertures;Chirp modulation;Frequency synthesizers;Image reconstruction;Image resolution;Optical imaging;Signal detection;Signal resolution;Signal synthesis;Ultrasonic imaging","","","","1","","9","","","March 1981","","IEEE","IEEE Journals & Magazines"
"Saccadic Performance as a Function of the Presence and Disappearance of Auditory and Visual Fixation Stimuli","T. L. Taylor; R. M. Klein; D. P. Munoz","Dalhousie University, Halifax, Nova Scotia","Journal of Cognitive Neuroscience","20140519","1999","11","2","206","213","Relative to when a fixated stimulus remains visible, saccadic latencies are facilitated when a fixated stimulus is extinguished simultaneously with or prior to the appearance of an eccentric auditory, visual, or combined visual-auditory target. In a study of nine human subjects, we determined whether such facilitation (the “gap effect”) occurs equivalently for the disappearance of fixated auditory stimuli and fixated visual stimuli. In the present study, a fixated auditory (noise) stimulus remained present (overlap) or else was extinguished simultaneously with (step) or 200 msec prior to (gap) the appearance of a visual, auditory (tone), or combined visual-auditory target 10° to the left or right of fixation. The results demonstrated equivalent facilitatory effects due to the disappearance of fixated auditory and visual stimuli and are consistent with the presumed role of the superior colliculus in the gap effect.","0898-929X;0898929X","","","10.1162/089892999563337","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6787861","","","","","","0","","","","","March 1999","","MIT Press","MIT Press Journals"
"The Square-Wave Electromagnetic Flowmeter: Theory of Operation and Design of Magnetic Probes for Clinical and Experimental Applications","M. P. Spencer; A. B. Denison","Dept. of Physiology and Pharmacology, Bowman Gray School of Medicine, Winston-Salem, N.C.","IRE Transactions on Medical Electronics","20090529","1959","ME-6","4","220","228","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/05007970.png"" border=""0"">","0097-1049;00971049","","","10.1109/IRET-ME.1959.5007970","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5007970","","Blood;Calibration;Conductors;Electrodes;Magnetic fields;Magnetic separation;Power generation;Probes;Voltage;Working environment noise","","","","3","4","17","","","Dec. 1959","","IEEE","IEEE Journals & Magazines"
"Communication and engineers: collisions at the crossroads!","J. A. Robinson","Robinson Associates, San Francisco, CA, USA","Professional Communication Conference, 1997. IPCC '97 Proceedings. Crossroads in Communication., 1997 IEEE International","20020806","1997","","","419","426","Differences in individual goals, language and culture build barriers to effective communication at the crossroads between engineers and technical communicators as project team members. The barriers appear in starting, supporting, scheduling and guiding projects. Open communication, active listening and collaborative problem solving can help the project leader “wave 'em through and watch 'em smile”","","0-7803-4184-8;0780341848","","10.1109/IPCC.1997.637072","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=637072","","Collaborative work;Communication effectiveness;Communication industry;Feathers;Feedback;Job shop scheduling;Problem-solving;Resource management;Road accidents;Watches","professional aspects;project management;technical presentation","active listening;collaborative problem solving;culture;engineers;individual goals;language;open communication;project management;project team members;scheduling;technical communication","","1","","4","","","22-25 Oct 1997","22 Oct 1997-25 Oct 1997","IEEE","IEEE Conference Publications"
"Evaluating the conventional and class-modular architectures feedforward neural network for handwritten word recognition","M. N. Kapp; C. O. D. A. Freitas; J. C. Nievola; R. Sabourin","Pontificia Univ. Catolica do Parana, Curitiba, Brazil","Computer Graphics and Image Processing, 2003. SIBGRAPI 2003. XVI Brazilian Symposium on","20031027","2003","","","315","319","We evaluate the use of the conventional architecture feedforward MLP (multiple layer perception) and class-modular for the handwriting recognition and it also compares the results obtained with previous works in terms of recognition rate. We present a feature set in full detail to work with handwriting recognition. The experiments showed that the class-modular architecture is better than conventional architecture. The obtained average recognition rates were 77.08% using the conventional architecture and 81.75% using the class-modular.","1530-1834;15301834","0-7695-2032-4;0769520324","","10.1109/SIBGRA.2003.1241025","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1241025","","Artificial neural networks;Character recognition;Feature extraction;Feedforward neural networks;Handwriting recognition;Neural networks;Pattern recognition;Power generation;Shape;System performance","feature extraction;feedforward neural nets;handwriting recognition;handwritten character recognition;multilayer perceptrons","MLP;class-modular architectures;conventional architecture;feedforward neural network;handwriting recognition;handwritten word recognition;multiple layer perception","","2","","10","","","12-15 Oct. 2003","","IEEE","IEEE Conference Publications"
"Pattern construction by extracting user specific features in keystroke authentication system","S. Singh; M. Sinha","Department of Information Technology Invertis University Bareilly, India","Computer and Communication Technology (ICCCT), 2013 4th International Conference on","20140227","2013","","","181","184","One of the biggest challenges in behavioral biometric systems is to select biometric features for pattern construction due to large domain of user's behavior. It is desirable that, behavioral pattern should be as small as possible for low computational cost of the system. But reduced pattern size costs accuracy of the authentication system. In this paper, authors have proposed to select user specific features for pattern construction, which is an obvious choice, as specific features are much stronger than others. This paper also proposes a technique to select user specific feature set for keystroke dynamics system. It is also demonstrated through experiments that, when user specific features are used, pattern size is drastically reduced without compromising authentication accuracy of the system.","","978-1-4799-1569-9;9781479915699","","10.1109/ICCCT.2013.6749624","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6749624","Behavioral biometrics;Keystroke dynamics;Pattern recognition;Specific features in pattern","Accuracy;Authentication;Biometrics (access control);Feature extraction;Rhythm;Timing;Vectors","authorisation;biometrics (access control);feature extraction;feature selection","behavioral biometric systems;biometric feature selection;keystroke authentication system;keystroke dynamic system;pattern construction;pattern size;user behavioral pattern;user specific feature extraction","","0","","9","","","20-22 Sept. 2013","","IEEE","IEEE Conference Publications"
"Respiratory Artefact Removal in Forced Oscillation Measurements: A Machine Learning Approach","T. T. Pham; C. Thamrin; P. D. Robinson; A. McEwan; P. H. W. Leong","Thuy T. Pham is with the Dept. of Electrical and Information Engineering, The University of Sydney, NSW, Australia. (e-mail:: thuy.pham@sydney.edu.au).","IEEE Transactions on Biomedical Engineering","","2016","PP","99","1","1","Goal: Respiratory artefact removal for the forced oscillation technique can be treated as an anomaly detection problem. Manual removal is currently considered the gold standard but this approach is laborious and subjective. Most existing automated techniques used simple statistics and/or rejected anomalous data points. Unfortunately, simple statistics are insensitive to numerous artefacts, leading to low reproducibility of results. Furthermore, rejecting anomalous data points causes an imbalance between the inspiratory and expiratory contributions. Methods: From a machine learning perspective, such methods are unsupervised and can be considered simple feature extraction. We hypothesize that supervised techniques can be used to find improved features that are more discriminative and more highly correlated with the desired output. Features thus found are then used for anomaly detection by applying quartile thresholding which rejects complete breaths if one of its features is out of range. The thresholds are determined by both saliency and performance metrics rather than qualitative assumptions as in previous works. Results: Feature ranking indicates that our new landmark features are among the highest scoring candidates regardless of age across saliency criteria. F1-scores, receiver operating characteristic, and variability of the mean resistance metrics show that the proposed scheme outperforms previous simple feature extraction approaches. Our subject-independent detector, 1IQR-SU, demonstrated approval rates of 80:6% for adults and 98% for children, higher than existing methods. Conclusion: Our new features are more relevant. Our removal is objective and comparable to the manual method. Significance: This is a critical work to automate FOT quality control.","0018-9294;00189294","","","10.1109/TBME.2016.2554599","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7453188","Respiratory artefacts;lung;machine learning","Australia;Feature extraction;Lungs;Measurement;Oscillators;Pediatrics;Standards","","","","","","","","2016-04-15","","","IEEE","IEEE Early Access Articles"
"Time-parameterized sensing task model for real-time tracking","Min-Young Nam; Chang-Gun Lee; Kanghee Kim; M. Caccamo","Dept. of Electr. & Comput. Eng., Ohio State Univ., Columbus, OH, USA","26th IEEE International Real-Time Systems Symposium (RTSS'05)","20060130","2005","","","11 pp.","255","This paper proposes a novel task model in which its physical and temporal parameters are specified as time-parameterized functions and their values are finally determined at the actual dispatch time. This model is clearly differentiated from the classical task model where parameters are fixed at the job release time. The new model better suits sensing tasks in tracking applications, since the sensor parameters such as field-of-view and measurement duration can be properly adjusted at the actual sensing time. The new model, however, creates the cyclic dependency between task parameters and scheduling behavior, that is, the task parameters depend on scheduling behavior and the latter in turn depends on the former. This cyclic dependency makes the schedulability check even more difficult. We handle this difficulty by iterative convergence and probabilistic schedulability envelope, which provides an efficient online schedulability check. The experimental study shows that the new model significantly improves the effective capacity of tracking systems without losing track accuracy","1052-8725;10528725","0-7695-2490-7;0769524907","","10.1109/RTSS.2005.41","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1563112","","Antenna measurements;Infrared sensors;Job design;Processor scheduling;Radar antennas;Radar tracking;Real time systems;Scheduling algorithm;Target tracking;Time measurement","real-time systems;scheduling;tracking","cyclic dependency;iterative convergence;online scheduling;probabilistic schedulability envelope;real-time tracking;scheduling behavior;task parameters;time-parameterized sensing task model","","4","","20","","","8-8 Dec. 2005","","IEEE","IEEE Conference Publications"
"Static inverter for railway electric coaches utilizing booster inverter","K. Iida","Toyo Electric Mfg. Co., Kanagawa, Japan","Power Electronics Specialists conference, 1982 IEEE","20150402","1982","","","149","159","Connecting the current type inverter and voltage type inverter in series, the new type of inverter that controls the dc voltage or ac voltage of voltage type inverter by controlling the functioning phase between both phases is introduced in this paper. This inverter serves useful as de-dc converter or dc-ac inverter. This paper deals mainly with the function as dc-dc converter.","0275-9306;02759306","","","10.1109/PESC.1982.7072405","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7072405","","Harmonic analysis;Inverters;Logic gates;Power supplies;Thyristors;Voltage control;Windings","","","","1","","","","","14-17 June 1982","","IEEE","IEEE Conference Publications"
"Analysis of a coupled inductor for zero-current transition boost converters","M. Kobayashi; N. Kasa","Dept. of Electrical and Electronic Engineering, Okayama University of Science, Okayama, Japan","2009 International Conference on Power Electronics and Drive Systems (PEDS)","20100119","2009","","","7","11","This paper presents an analysis of a coupled inductor for zero-current transition (ZCT) converters. In order to reduce switching losses and noises, a soft-switching technique is adopted. It is suitable for the pulse-width modulation (PWM), because the resonant transition is very short and it is independent of the switching frequency. We adapt a coupled inductor which consists of a boost inductor and a resonant inductor to ZCT converters. To analyze and simulate a magnetic field distribution of the coupled inductor, the ANSYS software is employed. A prototype converter is implemented by a field programmable gate array (FPGA) and a 2.5 MHz analog to digital (A/D) converter. From the experimental results, the zero-current transition operation of the main switch is confirmed and the efficiency of the converter using the coupled inductor is improved.","2164-5256;21645256","978-1-4244-4166-2;9781424441662","978-1-4244-4167-9;9781424441679","10.1109/PEDS.2009.5385819","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5385819","ZCS;boost converter;coupled inductor;soft-switching","Analog-digital conversion;Field programmable gate arrays;Inductors;Magnetic resonance;Noise reduction;Pulse width modulation;Space vector pulse width modulation;Switches;Switching frequency;Switching loss","PWM power convertors;analogue-digital conversion;field programmable gate arrays;inductors;switching convertors;zero current switching","ANSYS software;FPGA;analog-to-digital converter;boost inductor;coupled inductor;field programmable gate array;magnetic field distribution;pulse width modulation;resonant inductor;soft switching technique;switching loss;zero current transition boost converters","","2","","8","","","2-5 Nov. 2009","","IEEE","IEEE Conference Publications"
"Low-altitude hyperspectral observation of paddy using radio-controlled helicopter","Y. Kosugi; S. Mukoyama; Y. Takabayashi; K. Uto; K. Oda; G. Saito","Tokyo Institute of Technology, JAPAN","Geoscience and Remote Sensing Symposium (IGARSS), 2011 IEEE International","20111020","2011","","","1748","1751","To monitor the chlorophyll content of rice leaves, transparent leave-color monitoring device SPAD; named for the Soil & Plant Analyzer Development, is widely used in Japan. For wide area of paddy, however, it requires lots of elaboration to measure the SPAD values by hand. The objective of this study is to solve this problem by estimating the SPAD values through remote sensing. In rainy season, it is difficult to make use of airborne or satellite image sensors to observe paddy fields. Thus, we made use of a hyperspectral sensor mounted on a low-altitude radio-controlled helicopter, and calculated new indices LVI<sub>pure</sub> (Leave-color Verified Index) and LVI<sub>mix</sub> using the obtained data to estimate the SPAD values. As a result, the relations between the SPAD value and the estimation index exhibit high correlation: R<sup>2</sup> = 0.885 for LVI<sub>pure</sub> and R<sup>2</sup> = 0.927 for LVI<sub>mix</sub>, which facilitated to obtain ""the estimated SPAD value image"" from the hyperspectral data.","2153-6996;21536996","978-1-4577-1003-2;9781457710032","","10.1109/IGARSS.2011.6049457","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6049457","SPAD;helicopter;hyperspectrum;paddy;protein","Estimation;Helicopters;Hyperspectral imaging;Monitoring;Reflectivity;Wavelength measurement","crops;helicopters;remote sensing;remotely operated vehicles","Japan;SPAD device;chlorophyll content;low altitude hyperspectral observation;paddy;radiocontrolled helicopter;remote sensing;rice leaves;transparent leave color monitoring device","","2","","5","","","24-29 July 2011","","IEEE","IEEE Conference Publications"
"A Matrix Feed System for a Cylindrical Antenna Array","J. Reindel","Navy Electronics Laboratory Center, San Diego, USA.","Microwave Conference, 1974. 4th European","20070319","1974","","","288","292","The cylindrical matrix is a reciprocal corporate microwave network connected between a selector switch and an antenna ring array. The matrix divides and controls the amplitude and phase of the input power and feeds it to a sector of the array. The active array sector forms a highly directive beam normal to the array sector.","","","","10.1109/EUMA.1974.332058","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4130699","","Antenna arrays;Antenna feeds;Butler matrix;Circuits;Couplers;Delay;Microwave antenna arrays;Phased arrays;Symmetric matrices;Transmission line matrix methods","","","","0","","2","","","10-13 Sept. 1974","","IEEE","IEEE Conference Publications"
"[Front cover]","","","Embedded Multicore/Many-core Systems-on-Chip (MCSoC), 2015 IEEE 9th International Symposium on","20151112","2015","","","C4","C4","Presents the front cover or splash screen of the proceedings record.","","","","10.1109/MCSoC.2015.53","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7328149","","","","","","","","","","","23-25 Sept. 2015","","IEEE","IEEE Conference Publications"
"Fuzzy random shortest path problem using conditional Value at Risk","Takashi Hasuike","Graduate School of Information Science and Technology, Osaka University, 2-1 Yamadaoka, Suita, 565-0871, Japan","2010 International Conference on System Science and Engineering","20100819","2010","","","439","444","This paper considers a fuzzy random shortest path problem and proposes a new risk measure to synthesize both stochastic conditional Value at Risk and credibility measure for fuzziness. The proposed model defined by the hybrid conditional Value at Risk is equivalently transformed into a 0-1 mixed integer programming problem. In order to this problem analytically and efficiently, the Lagrange 0-1 relaxation problem using the property of totally unimodular and proposed the efficient solution algorithm based on the hybrid algorithm of standard Dijkstra algorithm and subgradient method.","2325-0909;23250909","978-1-4244-6472-2;9781424464722","","10.1109/ICSSE.2010.5551772","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5551772","deterministic equivalent transformation;fuzzy random variable;hybrid conditional Value at Risk;shortest path problem","Analytical models;Erbium","fuzzy set theory;gradient methods;graph theory;integer programming;risk analysis;stochastic processes","0-1 mixed integer programming;Lagrange 0-1 relaxation problem;fuzzy random shortest path problem;hybrid conditional value at risk;standard Dijkstra algorithm;stochastic conditional value at risk;subgradient method;totally unimodular property","","0","","20","","","1-3 July 2010","","IEEE","IEEE Conference Publications"
"Multi-token rings and multi-server polling systems: the bang-bang policy","H. Levy; G. Mahalal; M. Sidi","Rutgers University","Computer-Aided Modeling, Analysis, and Design of Communication Links and Networks, 1994. (CAMAD '94) Fifth IEEE International Workshop on","20020806","1994","","","0_50","0_51","A large variety of distributed communication systems in which SEVERAL stations share one or more channels are modeled as polling systems. Of these applications, the most important one is that of the Token Ring network with either a single token (modeled by a single server polling system) or multiple tokens (modeled by a multiple server polling systera). While much understanding on single token rings (single server polling systems) has been acquired over the years, little is understood about multi-token systems. Most importantly, not much is known about how to efficiently ope rate them. In this work we consider the problem of how to efficiently operate multiple tokens in a ring network. Modeling the system by a polling system, we address the question of how to efficiently operate multiple servers in a multi-queue environment with switch-over times. We demonstrate that the use of a simple cyclic visit order for the servers leads the servers to ""stick together"" and results in performance degradation since the servers are not evenly spread among the queues; in this system the servers suffer from lack of walk sharing, since they all concurrently waste their time on walking (switching) from queue to queue. An alternative approach in which each of the servers is dedicated to serve a subset of the queues is shown to resolve that problem but suffers from performance degradation due to lack of work sharing by the servers. We discuss the properties of work sharing and walk sharing and demonstrate how the lack of them affects the cyclic server policy and the dedicated server policy. We propose a novel approach, called the 'bang bang' policy. with this policy the servers are not dedicated to particular subsets of the queues, and thus the policy allows work sharing among the servers. Furthermore, the policy prevents the servers from 'sticking together"" and thus allows for walk sharing among them. As such, the policy overcomes the deficiencies of the other two policies. The ma- n idea of the ""bang bang"" policy is that afteR the servers meet, they continue to move in opposite directions. Numerical results show that the ""bang bang"" policy performs significantly better than the other two policies over a wide range of parameters.","","","","10.1109/CAMAD.1994.765647","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=765647","","Analytical models;Communication system control;Computer simulation;Degradation;Delay estimation;Intelligent networks;Network servers;Performance analysis;Telecommunication control;Token networks","","","","0","","","","","24-27 April 1994","","IEEE","IEEE Conference Publications"
